"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"宮川","みやがわ","優茉","ゆま",29,"25-29","女",164,58.9,21.9,"沖縄県","短大・高専","短大 社会","分類不能の職業","200万円～","未婚",NA,"毎日吸っている","月に１-３日","満足"
"追立","おいたち","吟之進","ぎんのしん",68,"65-69","男",162.8,56.5,21.3,"東京都","高校・旧中","なし","分類不能の職業","600万円～",NA,NA,"以前は吸っていたが.１か月以上吸っていない","ほとんど飲まない","やや満足"
"中空","なかそら","結綺","ゆき",52,"50-54","男",176.6,102.6,32.9,"東京都","短大・高専","短大 社会","専門的・技術的職業従事者","500万円～","有配偶",23,"毎日吸っている","週３-４日","やや満足"
"健名","けんめい","梓白","しろ",20,"20-24","女",148.5,37,16.8,"静岡県","大学・大学院","大学 人文科学","専門的・技術的職業従事者","900万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"灘儀","なだぎ","瑠琉空","るるあ",24,"20-24","女",150.5,57.5,25.4,"宮城県","高校・旧中","なし","専門的・技術的職業従事者","400万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや満足"
"乙丸","おとまる","乗洋","のりひろ",16,"15-19","男",180.7,79.3,24.3,"神奈川県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"生水","おみず","愛","めぐ",32,"30-34","女",150.6,47.4,20.9,"東京都","大学・大学院","大学 芸術","運搬・清掃・包装等従事者","600万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"椛沢","かばさわ","伍子","くみこ",91,"90-94","女",147.8,43.7,20,"千葉県","小学校・中学校","なし","無職その他","500万円～","死別",38,"吸わない","週３-４日","満足"
"唐杉","からすぎ","実喜絵","みきえ",32,"30-34","女",161.9,65,24.8,"福井県","短大・高専","高専 電気電子工学","専門的・技術的職業従事者","100万円以下","離別",28,"吸わない","飲まない (飲めない)","やや満足"
"石動","いしどう","麻絵","あさえ",78,"75-79","女",150.9,49,21.5,"富山県","高校・旧中","なし","無職その他","300万円～","死別",32,"吸わない","飲まない (飲めない)","どちらともいえない"
"寺畠","てらはた","親央","ちかお",79,"75-79","男",173.1,72.8,24.3,"茨城県","高校・旧中","なし","無職その他","300万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや満足"
"乙訓","おとくに","紗奈李","さなり",56,"55-59","女",155.7,58.7,24.2,"岡山県","高校・旧中","なし","事務従事者","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"真津野","まつの","貴吉","たかきち",45,"45-49","男",160.6,72,27.9,"千葉県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",31,"吸わない","月に１-３日","やや満足"
"小汲","おぐみ","宗里","むねさと",83,"80-84","男",177.1,65.6,20.9,"東京都","小学校・中学校","なし","無職その他","200万円～","有配偶",20,"以前は吸っていたが.１か月以上吸っていない","ほとんど飲まない","やや満足"
"源本","みなもと","羚巴","れいは",45,"45-49","女",158.9,68.9,27.3,"神奈川県","短大・高専","短大 社会","販売従事者","300万円～","有配偶",28,"以前は吸っていたが.１か月以上吸っていない","週３-４日","やや満足"
"佐村木","さむらき","巳香名","みかめ",24,"20-24","女",166.8,66.2,23.8,"静岡県","短大・高専","短大 保健","生産工程従事者","100万円以下","有配偶",21,"吸わない","週３-４日","満足"
"勝西","かつにし","平馬","ひらま",68,"65-69","男",163.2,62.3,23.4,"岐阜県","高校・旧中","なし","無職その他","500万円～","有配偶",27,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"有","あり","耀昊","そら",66,"65-69","女",160.3,67.6,26.3,"北海道","高校・旧中","なし","無職その他","100万円～","有配偶",30,"吸わない","毎日","やや満足"
"祝田","いわいだ","燦吾","さんご",52,"50-54","男",163.3,57.9,21.7,"熊本県","大学・大学院","大学院 工学","販売従事者","1000万円～1500万円","離別",27,"毎日吸っている","飲まない (飲めない)","満足"
"河内山","かわちやま","亜早陽","あさひ",68,"65-69","男",173.9,78.9,26.1,"愛知県","高校・旧中","なし","分類不能の職業","1000万円～1500万円","有配偶",35,"吸わない","週５-６日","やや満足"
"猶野","なおの","学乃","まなの",17,"15-19","女",156.8,48.7,19.8,"三重県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"當具","とうぐ","有秀","ありひで",62,"60-64","男",161.5,58.7,22.5,"千葉県","大学・大学院","大学 芸術","無職その他","500万円～","有配偶",25,"吸わない","やめた","やや満足"
"船原","ふなばら","輝依","てるい",23,"20-24","女",155.8,55.8,23,"埼玉県","短大・高専","短大 家政","無職その他","100万円～","未婚",NA,"吸わない","ほとんど飲まない","満足"
"溝川","みぞかわ","布那箕","ふなみ",44,"40-44","女",159.8,64.4,25.2,"茨城県","大学・大学院","大学院 人文科学","事務従事者","200万円～","有配偶",27,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"児成","こなり","愛依琉","あいる",32,"30-34","女",150.4,55.6,24.6,"佐賀県","短大・高専","短大 家政","サービス職業従事者","200万円～","有配偶",21,"吸わない","週１-２日","やや不満だ"
"中能","なかよく","房次","ふさじ",43,"40-44","男",174.5,73.1,24,"茨城県","高校・旧中","なし","販売従事者","700万円～","有配偶",23,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"根萩","ねはぎ","日舞梨","ひまり",88,"85-89","女",144,58.3,28.1,"兵庫県","大学・大学院","大学 農学","無職その他","100万円以下","死別",23,"吸わない","飲まない (飲めない)","やや満足"
"天尾","あまお","瑛未","えいみ",48,"45-49","女",163.9,70.1,26.1,"大阪府","高校・旧中","なし","無職その他","600万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"鳥取部","ととりべ","龍之心","りゅうのしん",40,"40-44","男",181.1,90.2,27.5,"広島県","高校・旧中","なし","無職その他","200万円～","離別",33,"吸わない","毎日","やや満足"
"円堂","えんどう","杏萌","あめ",59,"55-59","女",158.1,60,24,"神奈川県","短大・高専","短大 教育","無職その他","200万円～","有配偶",25,"時々吸う日がある","週３-４日","やや満足"
"寺重","てらしげ","成未","なりみ",61,"60-64","女",152.6,41,17.6,"福岡県","短大・高専","短大 家政","無職その他","100万円以下","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"正蔵寺","しょうぞうじ","元資","げんすけ",74,"70-74","男",155.6,44.5,18.4,"東京都","小学校・中学校","なし","無職その他","400万円～","有配偶",27,"吸わない","やめた","やや満足"
"富士原","ふじはら","翔威","しょうい",55,"55-59","男",162.2,79.2,30.1,"岡山県","大学・大学院","大学 社会科学","販売従事者","100万円～","有配偶",25,"毎日吸っている","ほとんど飲まない","やや満足"
"森上","もりがみこ","里樹","りな",83,"80-84","女",130.5,46,27,"大阪府","小学校・中学校","なし","無職その他","200万円～","死別",25,"吸わない","週３-４日","満足"
"添田","そえだ","長牟","おさむ",56,"55-59","男",164.7,64,23.6,"奈良県","大学・大学院","大学 人文科学","運搬・清掃・包装等従事者","400万円～","有配偶",30,"毎日吸っている","月に１-３日","やや満足"
"幸西","こうざい","颯子","さつこ",32,"30-34","女",159.7,52.8,20.7,"和歌山県","大学・大学院","大学 社会科学","無職その他","700万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや不満だ"
"一筆","ひとふで","琥亜","こあ",45,"45-49","女",154.3,54.5,22.9,"千葉県","高校・旧中","なし","事務従事者","300万円～","離別",40,"毎日吸っている","毎日","やや満足"
"上城","うえじょう","瑠真","るま",51,"50-54","女",151.2,40.9,17.9,"福岡県","高校・旧中","なし","専門的・技術的職業従事者","300万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや満足"
"厚ケ瀬","あつがせ","茅須","ちず",56,"55-59","女",157.8,57.5,23.1,"宮城県","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",28,"吸わない","ほとんど飲まない","満足"
"森行","もりゆき","漢兵衛","かんべえ",68,"65-69","男",177.6,52.7,16.7,"富山県","高校・旧中","なし","事務従事者","600万円～","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","やめた","やや不満だ"
"竹ノ脇","たけのわき","邦二","ほうじ",60,"60-64","男",173.6,71.4,23.7,"東京都","大学・大学院","大学 社会科学","生産工程従事者","400万円～","有配偶",28,"吸わない","毎日","不満だ"
"釜井","かまい","由地","ゆうち",90,"90-94","男",164.6,76.4,28.2,"大阪府","小学校・中学校","なし","無職その他","600万円～","有配偶",28,"毎日吸っている","毎日","満足"
"時友","ときとも","歩那","あゆな",38,"35-39","女",158.6,63.9,25.4,"山形県","短大・高専","短大 家政","生産工程従事者","100万円以下","有配偶",36,"吸わない","飲まない (飲めない)","やや不満だ"
"万寿本","まんじゅもと","流賀","るか",33,"30-34","男",173.8,52.9,17.5,"愛知県","高校・旧中","なし","販売従事者","500万円～","有配偶",23,"吸わない","飲まない (飲めない)","やや満足"
"琴岡","ことおか","茂慈","しげじ",38,"35-39","男",167.6,64.9,23.1,"愛知県","高校・旧中","なし","販売従事者","400万円～","有配偶",20,"吸わない","週３-４日","やや満足"
"奥積","おくづみ","真純","ますみ",26,"25-29","男",177.9,96.8,30.6,"長野県","短大・高専","高専 機械工学","無職その他","300万円～","未婚",NA,"吸わない","ほとんど飲まない","やや不満だ"
"豊島","としま","司瀬","しせ",66,"65-69","男",163.1,60.4,22.7,"富山県","小学校・中学校","なし","無職その他","400万円～","有配偶",33,"以前は吸っていたが.１か月以上吸っていない","毎日","不満だ"
"瀧塚","たきつか","摩菜巳","まなみ",47,"45-49","女",155.1,53.6,22.3,"神奈川県","短大・高専","短大 教育","販売従事者","100万円～","有配偶",28,"吸わない","毎日","やや満足"
"由解","ゆげ","音琶","おとは",26,"25-29","女",165.2,52.7,19.3,"静岡県","高校・旧中","なし","生産工程従事者","500万円～","未婚",NA,"吸わない","週１-２日","やや不満だ"
"東上床","ひがしうえとこ","江津","えつ",67,"65-69","女",151.3,60,26.2,"静岡県","高校・旧中","なし","販売従事者","100万円～","死別",22,"毎日吸っている","毎日","やや満足"
"岩泉","いわいずみ","奏音","かなと",35,"35-39","男",173.5,83.1,27.6,"埼玉県","短大・高専","高専 環境都市工学","販売従事者","500万円～","有配偶",26,"毎日吸っている","ほとんど飲まない","やや満足"
"瓦谷","かわらたに","蝶埜","ちょうの",48,"45-49","女",157.7,66.9,26.9,"和歌山県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",27,"毎日吸っている","ほとんど飲まない","やや不満だ"
"早味","はやみ","玉文","たまふみ",52,"50-54","男",180.9,55,16.8,"広島県","高校・旧中","なし","保安職業従事者","600万円～","有配偶",21,"毎日吸っている","飲まない (飲めない)","やや満足"
